date,open,high,low,close,volume,close_time,asset_volume,trade_number,taker_buy_base,taker_buy_quote,name
2019-01-31,3457.50000000,3489.20000000,3418.80000000,3434.10000000,29607.19025300,1548979199999,101928346.97699686,198100,15325.82878300,52764623.95051864,BTCUSDT
2019-02-01,3434.10000000,3488.00000000,3401.20000000,3462.07000000,25260.47615900,1549065599999,87075914.23266830,167520,13533.34462800,46664199.94907889,BTCUSDT
2019-02-02,3462.20000000,3526.40000000,3440.29000000,3504.77000000,17920.80200000,1549151999999,62134037.97539881,153234,9637.41923000,33417963.69624554,BTCUSDT
2019-02-03,3504.06000000,3511.09000000,3426.00000000,3458.11000000,19867.33639000,1549238399999,68801620.06241606,138592,10126.71614300,35070884.46205618,BTCUSDT
2019-02-04,3458.11000000,3484.88000000,3433.31000000,3463.22000000,23131.98110800,1549324799999,80024258.22766613,155686,12387.10978100,42856551.66874073,BTCUSDT
2019-02-05,3463.22000000,3478.97000000,3448.43000000,3471.59000000,25264.41503000,1549411199999,87491347.06381486,162066,13642.82308400,47248405.24357039,BTCUSDT
2019-02-06,3471.57000000,3482.72000000,3380.00000000,3405.37000000,35310.24484600,1549497599999,120500703.00515730,207024,18054.00834700,61609674.49994292,BTCUSDT
2019-02-07,3407.00000000,3426.45000000,3390.00000000,3398.40000000,18665.53863800,1549583999999,63611505.78657223,148209,9971.89096000,33985909.98028422,BTCUSDT
2019-02-08,3398.40000000,3733.58000000,3373.10000000,3659.04000000,47968.05801300,1549670399999,170118212.46197886,277242,25500.97034500,90453750.95066435,BTCUSDT
2019-02-09,3660.27000000,3680.02000000,3625.13000000,3665.18000000,24759.83371900,1549756799999,90488500.06766240,192209,13208.14275000,48274378.26417207,BTCUSDT
2019-02-10,3665.18000000,3684.99000000,3609.76000000,3680.06000000,23250.60263400,1549843199999,84696423.96233752,171099,12445.22054600,45337811.06485932,BTCUSDT
2019-02-11,3679.75000000,3684.90000000,3615.53000000,3631.05000000,24954.61457100,1549929599999,90731831.90427426,172626,12713.19166600,46221559.64321214,BTCUSDT
2019-02-12,3631.05000000,3667.60000000,3582.34000000,3631.46000000,29479.59823000,1550015999999,106766439.99436474,198996,14986.11962900,54283275.96877608,BTCUSDT
2019-02-13,3631.51000000,3670.00000000,3591.75000000,3609.40000000,25773.99764800,1550102399999,93350740.94830574,167690,13552.84642000,49100779.82827613,BTCUSDT
2019-02-14,3608.34000000,3626.40000000,3568.11000000,3590.56000000,21753.50126100,1550188799999,78367545.57945933,155215,11271.17502000,40602592.45976747,BTCUSDT
2019-02-15,3590.57000000,3653.23000000,3573.45000000,3602.47000000,20777.87289900,1550275199999,74938358.18352868,151256,10840.39689500,39106496.49706577,BTCUSDT
2019-02-16,3602.49000000,3648.20000000,3597.91000000,3618.41000000,19565.99275100,1550361599999,70894921.80761533,149393,10452.11973000,37873280.57143865,BTCUSDT
2019-02-17,3617.22000000,3700.11000000,3604.40000000,3667.58000000,25690.22777900,1550447999999,93426433.13226133,179511,13004.16467600,47317986.79403941,BTCUSDT
2019-02-18,3667.62000000,3925.00000000,3655.00000000,3898.60000000,64042.73049200,1550534399999,242898012.76922592,393515,33934.97317100,128779026.65413163,BTCUSDT
2019-02-19,3897.35000000,3994.52000000,3856.00000000,3907.79000000,50207.17266700,1550620799999,197091641.04739993,332281,27008.59756600,106038298.75034281,BTCUSDT
2019-02-20,3907.35000000,3986.98000000,3870.66000000,3969.74000000,36205.14085000,1550707199999,142571564.56112989,250176,19952.70098400,78593009.21716801,BTCUSDT
2019-02-21,3969.74000000,4016.48000000,3901.03000000,3937.31000000,31103.88472800,1550793599999,122714273.87417651,209571,16678.73094500,65816472.08951928,BTCUSDT
2019-02-22,3937.31000000,3988.00000000,3926.65000000,3962.00000000,23943.16375000,1550879999999,94739322.74557025,179588,12932.07849400,51172984.85084170,BTCUSDT
2019-02-23,3962.00000000,4162.02000000,3933.15000000,4117.76000000,33657.94288300,1550966399999,135782959.41827349,231563,17790.39681500,71727695.50468791,BTCUSDT
2019-02-24,4118.00000000,4198.00000000,3712.66000000,3743.56000000,62224.18689000,1551052799999,244146803.51886994,410578,30284.98096300,118938981.43024275,BTCUSDT
2019-02-25,3743.56000000,3872.66000000,3740.00000000,3827.92000000,38102.96624500,1551139199999,145285565.20317070,262716,20414.12531600,77851143.96719552,BTCUSDT
2019-02-26,3828.44000000,3841.51000000,3777.00000000,3809.23000000,28838.74803600,1551225599999,109932596.10609363,213897,14790.21331100,56376982.48230529,BTCUSDT
2019-02-27,3809.31000000,3838.85000000,3677.17000000,3818.07000000,31500.99546600,1551311999999,119564023.12004227,201626,16214.23584600,61560455.27515973,BTCUSDT
2019-02-28,3818.04000000,3888.00000000,3763.87000000,3813.69000000,32561.96104400,1551398399999,124703738.39336836,233849,16907.09230100,64761233.24960861,BTCUSDT
2019-03-01,3814.26000000,3857.00000000,3813.01000000,3823.00000000,23174.57217000,1551484799999,88851336.52111789,179860,12773.95259500,48982541.74343915,BTCUSDT
2019-03-02,3822.17000000,3841.31000000,3772.25000000,3819.93000000,19445.83835500,1551571199999,74175357.77882297,149854,10248.94565500,39098061.94664881,BTCUSDT
2019-03-03,3819.97000000,3835.00000000,3781.32000000,3807.75000000,16718.16541000,1551657599999,63791898.99159701,127681,8854.21887800,33793163.48606208,BTCUSDT
2019-03-04,3807.32000000,3830.00000000,3670.69000000,3715.30000000,34742.84166000,1551743999999,129739738.23815794,218615,18023.02240700,67312533.26381876,BTCUSDT
2019-03-05,3716.10000000,3877.10000000,3703.55000000,3857.73000000,32962.53616200,1551830399999,124945530.76214453,202444,17980.12771200,68134618.18206475,BTCUSDT
2019-03-06,3857.58000000,3907.00000000,3813.09000000,3861.84000000,24775.11883000,1551916799999,95417637.58898660,165101,13139.77457300,50622286.06205380,BTCUSDT
2019-03-07,3861.84000000,3905.40000000,3840.40000000,3873.64000000,26455.25766100,1552003199999,102585458.38333898,180520,13365.94621300,51827450.49331647,BTCUSDT
2019-03-08,3873.63000000,3932.00000000,3800.00000000,3864.89000000,34730.36659200,1552089599999,135000852.01035948,211534,17947.93422800,69791058.74747885,BTCUSDT
2019-03-09,3864.88000000,3971.75000000,3854.75000000,3943.04000000,30979.74765300,1552175999999,121353606.96803356,206869,16447.34655800,64429542.99978998,BTCUSDT
2019-03-10,3943.43000000,3943.43000000,3881.69000000,3916.82000000,23187.56141200,1552262399999,90693949.72150731,167920,12518.49638600,48968093.08714351,BTCUSDT
2019-03-11,3915.99000000,3936.98000000,3830.00000000,3871.61000000,38066.88570500,1552348799999,147721971.09446938,209916,19416.22101400,75329574.17851433,BTCUSDT
2019-03-12,3871.61000000,3905.20000000,3826.06000000,3882.73000000,26921.00862200,1552435199999,104393849.44844826,182885,13827.42106500,53624520.45494350,BTCUSDT
2019-03-13,3882.69000000,3893.56000000,3840.00000000,3866.00000000,24461.00875700,1552521599999,94680049.46033754,186572,12839.14650500,49699859.82552118,BTCUSDT
2019-03-14,3866.00000000,3920.00000000,3810.43000000,3877.12000000,27048.74853000,1552607999999,104673038.77602254,196651,14244.45531900,55141147.28364773,BTCUSDT
2019-03-15,3877.12000000,3939.22000000,3872.20000000,3923.76000000,21740.06149800,1552694399999,84919900.71744472,163866,12025.70553400,46979306.89873034,BTCUSDT
2019-03-16,3924.46000000,4056.98000000,3921.98000000,4005.98000000,28568.37612400,1552780799999,114227606.40681695,216198,15580.63108000,62301622.91259946,BTCUSDT
2019-03-17,4005.98000000,4012.00000000,3950.01000000,3981.14000000,18814.25557700,1552867199999,74893913.05776027,146953,9927.11655900,39524144.17139103,BTCUSDT
2019-03-18,3981.85000000,4037.00000000,3953.33000000,3987.81000000,22454.47801000,1552953599999,89526258.38910637,157876,11964.18976900,47710908.05709871,BTCUSDT
2019-03-19,3987.83000000,4031.00000000,3970.00000000,4015.53000000,19893.74181500,1553039999999,79503748.36263466,147394,10745.63056500,42949860.70592456,BTCUSDT
2019-03-20,4017.48000000,4050.00000000,3980.50000000,4043.04000000,23432.30025500,1553126399999,94019734.23326426,175036,12201.21427900,48961351.11750316,BTCUSDT
2019-03-21,4043.04000000,4069.32000000,3880.01000000,3980.64000000,35997.68211900,1553212799999,144010401.50845117,236100,18704.22183700,74835394.39208286,BTCUSDT
2019-03-22,3980.85000000,4008.00000000,3968.25000000,3986.93000000,20022.60631800,1553299199999,79861943.81089970,153703,10561.69457700,42127893.35065794,BTCUSDT
2019-03-23,3987.89000000,4018.83000000,3978.01000000,4006.01000000,17302.60431800,1553385599999,69169819.86286371,143155,9491.14472800,37945846.04025019,BTCUSDT
2019-03-24,4006.01000000,4006.02000000,3950.00000000,3992.18000000,17179.85064800,1553471999999,68524082.74695625,131087,8617.36592500,34375232.36909545,BTCUSDT
2019-03-25,3991.35000000,3999.30000000,3888.71000000,3936.12000000,33192.89021700,1553558399999,131507366.37512891,227739,17050.63482700,67573128.16531547,BTCUSDT
2019-03-26,3935.47000000,3958.98000000,3894.00000000,3948.55000000,29349.53762700,1553644799999,115330070.99071545,192418,15963.90520500,62738463.89189890,BTCUSDT
